method,api,iterations,elapsed_ms
alive,Plumber,10,261.32774353027344
add,Plumber,10,318.5617923736572
iris,Plumber,10,731.3666343688965
alive,Flask,10,239.58444595336914
add,Flask,10,308.89081954956055
iris,Flask,10,481.0986518859863
alive,RestRserve,10,4376.654624938965
iris,RestRserve,10,4786.775827407837
alive,Plumber,50,1123.9702701568604
add,Plumber,50,1276.824712753296
iris,Plumber,50,2335.4525566101074
alive,Flask,50,992.9089546203613
add,Flask,50,1107.1219444274902
iris,Flask,50,3076.279640197754
alive,RestRserve,50,22382.07244873047
iris,RestRserve,50,22298.872709274292
alive,Plumber,100,2958.9054584503174
add,Plumber,100,2693.669319152832
iris,Plumber,100,4782.493591308594
alive,Flask,100,1873.8656044006348
add,Flask,100,2058.563470840454
iris,Flask,100,6191.915988922119
alive,RestRserve,100,39433.340311050415
iris,RestRserve,100,42908.95700454712
alive,Plumber,250,6604.071140289307
add,Plumber,250,6714.074373245239
iris,Plumber,250,9657.543897628784
alive,Flask,250,4540.295362472534
add,Flask,250,4303.501605987549
iris,Flask,250,15513.71169090271
alive,RestRserve,250,96958.9171409607
iris,RestRserve,250,110127.91109085083
alive,Plumber,500,13067.121744155884
add,Plumber,500,13426.080465316772
iris,Plumber,500,22837.186574935913
alive,Flask,500,10010.911703109741
add,Flask,500,9063.689708709717
iris,Flask,500,28183.462858200073
alive,RestRserve,500,191801.411151886
iris,RestRserve,500,220016.8206691742
alive,Plumber,750,17599.368810653687
add,Plumber,750,16346.586227416992
iris,Plumber,750,31299.52645301819
alive,Flask,750,12300.131559371948
add,Flask,750,12055.044412612915
iris,Flask,750,34558.22515487671
alive,RestRserve,750,285881.4604282379
iris,RestRserve,750,332567.9636001587
alive,Plumber,1000,21730.552673339844
add,Plumber,1000,24832.90386199951
iris,Plumber,1000,40970.28827667236
alive,Flask,1000,22299.27158355713
add,Flask,1000,20796.433925628662
iris,Flask,1000,56427.27541923523
alive,RestRserve,1000,396479.5751571655
iris,RestRserve,1000,438429.3854236603
alive,Plumber,1500,39570.589780807495
add,Plumber,1500,38679.13508415222
iris,Plumber,1500,63742.74706840515
alive,Flask,1500,27721.747398376465
add,Flask,1500,27080.257415771484
iris,Flask,1500,75001.9416809082
alive,RestRserve,1500,606851.1343002319
iris,RestRserve,1500,664417.6943302155
alive,Plumber,2000,45490.50164222717
add,Plumber,2000,46864.04275894165
iris,Plumber,2000,79290.37714004517
alive,Flask,2000,36922.02425003052
add,Flask,2000,45082.35025405884
iris,Flask,2000,106203.89604568481
alive,RestRserve,2000,810909.8329544067
iris,RestRserve,2000,981453.7522792816
alive,Plumber,2500,77250.33617019653
add,Plumber,2500,86194.3371295929
iris,Plumber,2500,154639.3485069275
alive,Flask,2500,55449.4104385376
add,Flask,2500,58503.703117370605
iris,Flask,2500,163835.0305557251
alive,RestRserve,2500,1121805.454492569
iris,RestRserve,2500,1239777.1971225739
alive,Plumber,5000,120338.8922214508
add,Plumber,5000,132467.12589263916
iris,Plumber,5000,219955.11102676392
alive,Flask,5000,100161.97156906128
add,Flask,5000,97164.5438671112
iris,Flask,5000,265413.88630867004
alive,RestRserve,5000,2042322.0179080963
iris,RestRserve,5000,2158475.4054546356
alive,Plumber,7500,164210.18385887146
add,Plumber,7500,169259.84001159668
iris,Plumber,7500,290735.0924015045
alive,Flask,7500,123053.14826965332
add,Flask,7500,132801.63526535034
iris,Flask,7500,364444.65255737305
alive,RestRserve,7500,2776780.0357341766
iris,RestRserve,7500,3105987.3304367065
alive,Plumber,10000,230751.65939331055
add,Plumber,10000,240611.2732887268
iris,Plumber,10000,410990.8490180969
alive,Flask,10000,181924.44515228271
add,Flask,10000,181827.59881019592
iris,Flask,10000,489710.17265319824
alive,RestRserve,10000,3733805.5531978607
iris,RestRserve,10000,4085072.8273391724
alive,Plumber,10,482.2542667388916
add,Plumber,10,231.86969757080078
iris,Plumber,10,373.80099296569824
alive,Flask,10,170.9582805633545
add,Flask,10,210.4167938232422
iris,Flask,10,422.82867431640625
alive,RestRserve,10,5028.042316436768
iris,RestRserve,10,4735.68868637085
alive,Plumber,50,1244.5037364959717
add,Plumber,50,1419.5942878723145
iris,Plumber,50,2287.858247756958
alive,Flask,50,830.1610946655273
add,Flask,50,767.052412033081
iris,Flask,50,2279.667854309082
alive,RestRserve,50,17407.095193862915
iris,RestRserve,50,19109.161853790283
alive,Plumber,100,2473.6247062683105
add,Plumber,100,2668.4188842773438
iris,Plumber,100,4498.71563911438
alive,Flask,100,1995.9826469421387
add,Flask,100,1939.9595260620117
iris,Flask,100,4824.654340744019
alive,RestRserve,100,35782.91869163513
iris,RestRserve,100,41676.13339424133
alive,Plumber,250,6037.817478179932
add,Plumber,250,5824.897050857544
iris,Plumber,250,10243.694543838501
alive,Flask,250,4306.2591552734375
add,Flask,250,4113.245725631714
iris,Flask,250,13210.288763046265
alive,RestRserve,250,92084.07378196716
iris,RestRserve,250,105304.46863174438
alive,Plumber,500,11427.06274986267
