data;trasa;kto
29-30.11.2015;EPWA-EBBR-LBG-EPWA;pbs
03.12.2015;EPWA-LKPR-EPKK;pbs
17-18.12.2015;EPWA-EBBR-EPWA;pbs
18-19.01.2016;EPWA-SXB-EPWA;pbs
02.02.2016;EPWA-OSL-EPWA;pbs
03-04.02.2016;EPWA-LBG-STN-EPWA;pbs
08.02.2016;EPWA-LHBP-EPWA;pbs
12.02.2016;EPWA-TXL-EPKK;pbs
15.02.2016;EPKK-LKPR-EPWA;pbs
18-20.02.2016;EPWA-EBBR-EPKT;pbs
07-08.03.2016;EPWA-EBBR-EPWA;pbs
16-18.03.2016;EPWA-EBBR-EPKK;pbs
30.03.2016;EPWA-EPRZ-EPWA;pbs
04.04.2016;EPWA-EPSC-EPWA;pbs
12.04.2016;EPWA-EPKK-EPWA;pbs
14-15.04.2016;EPWA-EPPO-EPKK;pbs
18.04.2016;EPWA-EPKK-EPWA;pbs
28.04.2016;EPWA-EPST-EPWA;pbs
12-13.05.2016;EPWA-CIA-EPKK;pbs
19.05.2016;EPWA-EPKK-EPWA;pbs
22-23.05.2016;EPKK-IST-EPWA;pbs
08.06.2016;EPWA-LKPR-EPSC;pbs
09.06.2016;EPSC-EPWA;pbs
18.06.2016;EPWA-EPSC-EPKK;pbs
22.06.2016;EPWA-TXL-EPWA;pbs
24.06.2016;EPWA-EPKK;pbs
27-29.06.2016;EPWA-EBBR-EPWA;pbs
11.07.2016;EPKK-EPWA-EPKK;pbs
14-16.07.2016;EPWA-ULN-EPWA;pbs
16.07.2016;EPWA-EPKK;pbs
18-19.07.2016;EPKK-EPWA;pbs
22.07.2016;EPWA-EPKK;pbs
25.07.2016;EPKK-EPWA;pbs
26.07.2016;EPWA-EPKK;pbs
28.07.2016;EPWA-EPKT;pbs
01.08.2016;EPWA-Jurata;pbs
01.08.2016;EPKK-EPWA;pbs
05.08.2016;EPGD-EPWA-EPKK-EPGD;pbs
15.08.2016;EPKK-EPWA;pbs
16.08.2016;EPWA-EPKK;pbs
19.08.2016;EPKK-EPSC-EPKK;pbs
22.08.2016;EPKK-EPWA;pbs
27.08.2016;EPWA-SCV-EPGD;pbs
28.08.2016;EPGD-EPWA;pbs
30.08.2016;EPWA-EPGD;pbs
01.09.2016;EPGD-EPKK;pbs
04.09.2016;EPKK-EPWA;pbs
08.09.2016;EPKK-EPWA;pbs
09-10.09.2016;EPWA-EPKK-EPWA;pbs
16.09.2016;EPWA-LZIB-EPKK;pbs
19.09.2016;EPKK-EPWA;pbs
24-26.09.2016;EPWA-EPKK-EPWA;pbs
01.10.2016;EPWA-EPKK;pbs
03.10.2016;EPKK-EPZG-EPWA;pbs
05.10.2016;EPWA-EPKK-EPWA;pbs
07.10.2016;EPWA-EPKK;pbs
09.10.2016;EPKK-EPWA;pbs
