samolot;data;trasa;premier
EMB;30.11.2015;WAW-BRU-LBG-WAW;PBS
EMB;03.12.2015;WAW-PRG-KRK;PBS
EMB;18.12.2015;WAW-BRU-WAW;PBS
EMB;19.01.2016;WAW-SXB-WAW;PBS
EMB;02.02.2016;WAW-OSL-WAW;PBS
EMB;04.02.2016;WAW-LBG-STN-WAW;PBS
EMB;08.02.2016;WAW-BUD-WAW;PBS
EMB;12.02.2016;WAW-TXL-KRK;PBS
EMB;15.02.2016;KRK-PRG-WAW;PBS
EMB;20.02.2016;WAW-BRU-KTW;PBS
EMB;08.03.2016;WAW-BRU-WAW;PBS
EMB;18.03.2016;WAW-BRU-KRK;PBS
EMB;30.03.2016;WAW-RZE-WAW;PBS
EMB;04.04.2016;WAW-SZZ-WAW;PBS
W-3 Sokół;12.04.2016;EPWA-EPKK-EPWA;PBS
EMB;15.04.2016;WAW-POZ-KRK;PBS
EMB;18.04.2016;WAW-KRK-WAW;PBS
W-3 Sokół;28.04.2016;EPWA-EPST-EPWA;PBS
EMB;13.05.2016;WAW-CIA-KRK;PBS
W-3 Sokół;19.05.2016;EPWA-EPKK-EPWA;PBS
EMB;23.05.2016;KRK-IST-WAW;PBS
EMB;08.06.2016;WAW-PRG-SZZ;PBS
CASA;09.06.2016;EPSC-EPWA;PBS
EMB;18.06.2016;WAW-SZZ-KRK;PBS
EMB;22.06.2016;WAW-TXL-WAW;PBS
W-3 Sokół;24.06.2016;EPWA-EPKK;PBS
EMB;29.06.2016;WAW-BRU-WAW;PBS
W-3 Sokół;11.07.2016;EPKK-EPWA-EPKK;PBS
B-737 czarter;16.07.2016;WAW-ULN-WAW;PBS
W-3 Sokół;16.07.2016;EPWA-EPKK;PBS
W-3 Sokół;19.07.2016;EPKK-EPWA;PBS
W-3 Sokół;22.07.2016;EPWA-EPKK;PBS
W-3 Sokół;25.07.2016;EPKK-EPWA;PBS
W-3 Sokół;26.07.2016;EPWA-EPKK;PBS
EMB;28.07.2016;WAW-KTW;PBS
W-3 Sokół;01.08.2016;EPWA-Jurata;PBS
W-3 Sokół;01.08.2016;EPKK-EPWA;PBS
W-3Sokół/CASA;05.08.2016;EPGD-EPWA-EPKK-EPGD;PBS
CASA;15.08.2016;EPKK-EPWA;PBS
CASA;16.08.2016;EPWA-EPKK;PBS
CASA;19.08.2016;EPKK-EPSC-EPKK;PBS
CASA;22.08.2016;EPKK-EPWA;PBS
EMB;27.08.2016;WAW-SCV-GDN;PBS
CASA;28.08.2016;EPGD-EPWA;PBS
CASA;30.08.2016;EPWA-EPGD;PBS
CASA;01.09.2016;EPGD-EPKK;PBS
CASA;04.09.2016;EPKK-EPWA;PBS
CASA;08.09.2016;EPKK-EPWA;PBS
CASA;10.09.2016;EPWA-EPKK-EPWA;PBS
