samolot;data;trasa;premier
NA;NA;NA;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
EMB;30.11.2015;WAW-BRU-LBG-WAW;dane/pbs.pdf
EMB;03.12.2015;WAW-PRG-KRK;dane/pbs.pdf
EMB;18.12.2015;WAW-BRU-WAW;dane/pbs.pdf
EMB;19.01.2016;WAW-SXB-WAW;dane/pbs.pdf
EMB;02.02.2016;WAW-OSL-WAW;dane/pbs.pdf
EMB;04.02.2016;WAW-LBG-STN-WAW;dane/pbs.pdf
EMB;08.02.2016;WAW-BUD-WAW;dane/pbs.pdf
EMB;12.02.2016;WAW-TXL-KRK;dane/pbs.pdf
EMB;15.02.2016;KRK-PRG-WAW;dane/pbs.pdf
EMB;20.02.2016;WAW-BRU-KTW;dane/pbs.pdf
EMB;08.03.2016;WAW-BRU-WAW;dane/pbs.pdf
EMB;18.03.2016;WAW-BRU-KRK;dane/pbs.pdf
EMB;30.03.2016;WAW-RZE-WAW;dane/pbs.pdf
EMB;04.04.2016;WAW-SZZ-WAW;dane/pbs.pdf
W-3 Sokół;12.04.2016;EPWA-EPKK-EPWA;dane/pbs.pdf
EMB;15.04.2016;WAW-POZ-KRK;dane/pbs.pdf
EMB;18.04.2016;WAW-KRK-WAW;dane/pbs.pdf
W-3 Sokół;28.04.2016;EPWA-EPST-EPWA;dane/pbs.pdf
EMB;13.05.2016;WAW-CIA-KRK;dane/pbs.pdf
W-3 Sokół;19.05.2016;EPWA-EPKK-EPWA;dane/pbs.pdf
EMB;23.05.2016;KRK-IST-WAW;dane/pbs.pdf
EMB;08.06.2016;WAW-PRG-SZZ;dane/pbs.pdf
CASA;09.06.2016;EPSC-EPWA;dane/pbs.pdf
EMB;18.06.2016;WAW-SZZ-KRK;dane/pbs.pdf
EMB;22.06.2016;WAW-TXL-WAW;dane/pbs.pdf
W-3 Sokół;24.06.2016;EPWA-EPKK;dane/pbs.pdf
EMB;29.06.2016;WAW-BRU-WAW;dane/pbs.pdf
