Kod,ludnosc
0000000,38433558
0200000,2902547
0201000,90173
0201011,39084
0201022,14391
0201032,5345
0201043,15290
0201044,4244
0201045,11046
0201052,7398
0201062,8665
0202000,102077
0202011,30207
0202021,33653
0202033,9550
0202034,7170
0202035,2380
0202041,6479
0202052,9185
0202062,7458
0202073,5545
0202074,2981
0202075,2564
0203000,89933
0203011,68179
0203022,6663
0203032,4925
0203042,4415
0203052,2284
0203062,3467
0204000,35473
0204013,20177
0204014,11994
0204015,8183
0204022,3051
0204032,4985
0204043,7260
0204044,2688
0204045,4572
0205000,50947
0205011,23266
0205023,10611
0205024,5047
0205025,5564
0205032,5001
0205042,4113
0205052,3976
0205062,3980
0206000,64178
0206011,4711
0206021,11090
0206031,6314
0206041,6681
0206052,4320
0206062,7283
0206072,10218
0206082,8294
0206092,5267
0207000,43999
0207011,19348
0207022,9046
0207033,11052
0207034,6106
0207035,4946
0207042,4553
0208000,160465
0208011,4728
0208021,27193
0208031,10018
0208041,22455
0208051,6381
0208063,19077
0208064,10239
0208065,8838
0208072,17285
0208083,8365
0208084,5685
0208085,2680
0208092,1940
0208103,7241
0208104,2623
0208105,4618
0208112,11755
0208123,9089
0208124,2427
0208125,6662
0208133,7568
0208134,5755
0208135,1813
0208143,7370
0208144,5242
0208145,2128
0209000,55233
0209011,13573
0209022,9565
0209032,3319
0209042,6750
0209052,5252
0209062,6629
0209073,7507
0209074,3646
0209075,3861
0209082,2638
0210000,54991
0210011,21318
0210021,4209
0210033,10162
0210034,4532
0210035,5630
0210042,6607
0210053,6524
0210054,4347
0210055,2177
0210062,1631
0210072,4540
0211000,106320
0211011,72892
0211022,15605
0211032,7742
0211043,10081
0211044,5677
0211045,4404
0212000,46360
0212013,9779
0212014,6684
0212015,3095
0212023,6235
0212024,2002
0212025,4233
0212033,17346
0212034,8895
0212035,8451
0212043,8692
0212044,3938
0212045,4754
0212053,4308
0212054,1806
0212055,2502
0213000,37125
0213012,4663
0213022,8177
0213033,24285
0213034,11482
