"Kod";"Nazwa";"ogółem;2019;[osoba]";
0000000;"POLSKA";866374;
0200000;"DOLNOŚLĄSKIE";56022;
0201000;"Powiat bolesławiecki";1293;
0201011;"Bolesławiec (1)";516;
0201022;"Bolesławiec (2)";198;
0201032;"Gromadka (2)";76;
0201043;"Nowogrodziec (3)";234;
0201044;"Nowogrodziec - miasto (4)";60;
0201045;"Nowogrodziec - obszar wiejski (5)";174;
0201052;"Osiecznica (2)";133;
0201062;"Warta Bolesławiecka (2)";136;
0202000;"Powiat dzierżoniowski";1468;
0202011;"Bielawa (1)";325;
0202021;"Dzierżoniów (1)";515;
0202033;"Pieszyce (3)";154;
0202034;"Pieszyce - miasto (4)";136;
0202035;"Pieszyce - obszar wiejski (5)";18;
0202041;"Piława Górna (1)";136;
0202052;"Dzierżoniów (2)";146;
0202062;"Łagiewniki (2)";102;
0202073;"Niemcza (3)";90;
0202074;"Niemcza - miasto (4)";52;
0202075;"Niemcza - obszar wiejski (5)";38;
0203000;"Powiat głogowski";2036;
0203011;"Głogów (1)";1414;
0203022;"Głogów (2)";154;
0203032;"Jerzmanowa (2)";115;
0203042;"Kotla (2)";136;
0203052;"Pęcław (2)";99;
0203062;"Żukowice (2)";118;
0204000;"Powiat górowski";1530;
0204013;"Góra (3)";855;
0204014;"Góra - miasto (4)";460;
0204015;"Góra - obszar wiejski (5)";395;
0204022;"Jemielno (2)";144;
0204032;"Niechlów (2)";208;
0204043;"Wąsosz (3)";323;
0204044;"Wąsosz - miasto (4)";115;
0204045;"Wąsosz - obszar wiejski (5)";208;
0205000;"Powiat jaworski";1698;
0205011;"Jawor (1)";578;
0205023;"Bolków (3)";566;
0205024;"Bolków - miasto (4)";225;
0205025;"Bolków - obszar wiejski (5)";341;
0205032;"Męcinka (2)";142;
0205042;"Mściwojów (2)";139;
0205052;"Paszowice (2)";160;
0205062;"Wądroże Wielkie (2)";113;
0206000;"Powiat jeleniogórski";1594;
0206011;"Karpacz (1)";99;
0206021;"Kowary (1)";290;
0206031;"Piechowice (1)";126;
0206041;"Szklarska Poręba (1)";117;
0206052;"Janowice Wielkie (2)";139;
0206062;"Jeżów Sudecki (2)";145;
0206072;"Mysłakowice (2)";313;
0206082;"Podgórzyn (2)";220;
0206092;"Stara Kamienica (2)";145;
0207000;"Powiat kamiennogórski";776;
0207011;"Kamienna Góra (1)";335;
0207022;"Kamienna Góra (2)";152;
0207033;"Lubawka (3)";190;
0207034;"Lubawka - miasto (4)";91;
0207035;"Lubawka - obszar wiejski (5)";99;
0207042;"Marciszów (2)";99;
0208000;"Powiat kłodzki";5330;
0208011;"Duszniki-Zdrój (1)";120;
0208021;"Kłodzko (1)";752;
0208031;"Kudowa-Zdrój (1)";268;
0208041;"Nowa Ruda (1)";650;
0208051;"Polanica-Zdrój (1)";169;
0208063;"Bystrzyca Kłodzka (3)";790;
0208064;"Bystrzyca Kłodzka - miasto (4)";428;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";362;
0208072;"Kłodzko (2)";569;
0208083;"Lądek-Zdrój (3)";261;
0208084;"Lądek-Zdrój - miasto (4)";149;
0208085;"Lądek-Zdrój - obszar wiejski (5)";112;
0208092;"Lewin Kłodzki (2)";64;
0208103;"Międzylesie (3)";334;
0208104;"Międzylesie - miasto (4)";111;
0208105;"Międzylesie - obszar wiejski (5)";223;
0208112;"Nowa Ruda (2)";444;
0208123;"Radków (3)";311;
0208124;"Radków - miasto (4)";94;
0208125;"Radków - obszar wiejski (5)";217;
0208133;"Stronie Śląskie (3)";359;
0208134;"Stronie Śląskie - miasto (4)";165;
0208135;"Stronie Śląskie - obszar wiejski (5)";194;
0208143;"Szczytna (3)";239;
0208144;"Szczytna - miasto (4)";163;
0208145;"Szczytna - obszar wiejski (5)";76;
0209000;"Powiat legnicki";1643;
0209011;"Chojnów (1)";544;
0209022;"Chojnów (2)";449;
0209032;"Krotoszyce (2)";60;
0209042;"Kunice (2)";128;
0209052;"Legnickie Pole (2)";94;
0209062;"Miłkowice (2)";171;
0209073;"Prochowice (3)";140;
0209074;"Prochowice - miasto (4)";60;
0209075;"Prochowice - obszar wiejski (5)";80;
0209082;"Ruja (2)";57;
0210000;"Powiat lubański";1167;
0210011;"Lubań (1)";294;
0210021;"Świeradów-Zdrój (1)";92;
0210033;"Leśna (3)";334;
0210034;"Leśna - miasto (4)";133;
0210035;"Leśna - obszar wiejski (5)";201;
0210042;"Lubań (2)";153;
0210053;"Olszyna (3)";156;
0210054;"Olszyna - miasto (4)";91;
0210055;"Olszyna - obszar wiejski (5)";65;
0210062;"Platerówka (2)";37;
0210072;"Siekierczyn (2)";101;
0211000;"Powiat lubiński";1475;
0211011;"Lubin (1)";892;
0211022;"Lubin (2)";212;
0211032;"Rudna (2)";171;
0211043;"Ścinawa (3)";200;
0211044;"Ścinawa - miasto (4)";100;
0211045;"Ścinawa - obszar wiejski (5)";100;
0212000;"Powiat lwówecki";1477;
0212013;"Gryfów Śląski (3)";296;
0212014;"Gryfów Śląski - miasto (4)";196;
0212015;"Gryfów Śląski - obszar wiejski (5)";100;
0212023;"Lubomierz (3)";207;
0212024;"Lubomierz - miasto (4)";56;
0212025;"Lubomierz - obszar wiejski (5)";151;
0212033;"Lwówek Śląski (3)";482;
0212034;"Lwówek Śląski - miasto (4)";216;
0212035;"Lwówek Śląski - obszar wiejski (5)";266;
0212043;"Mirsk (3)";353;
0212044;"Mirsk - miasto (4)";135;
0212045;"Mirsk - obszar wiejski (5)";218;
0212053;"Wleń (3)";139;
0212054;"Wleń - miasto (4)";49;
0212055;"Wleń - obszar wiejski (5)";90;
0213000;"Powiat milicki";854;
0213012;"Cieszków (2)";135;
0213022;"Krośnice (2)";167;
0213033;"Milicz (3)";552;
0213034;"Milicz - miasto (4)";229;
0213035;"Milicz - obszar wiejski (5)";323;
0214000;"Powiat oleśnicki";1971;
0214011;"Oleśnica (1)";502;
0214023;"Bierutów (3)";323;
0214024;"Bierutów - miasto (4)";154;
0214025;"Bierutów - obszar wiejski (5)";169;
0214032;"Dobroszyce (2)";99;
0214042;"Dziadowa Kłoda (2)";123;
0214053;"Międzybórz (3)";107;
0214054;"Międzybórz - miasto (4)";38;
0214055;"Międzybórz - obszar wiejski (5)";69;
0214062;"Oleśnica (2)";186;
0214073;"Syców (3)";384;
0214074;"Syców - miasto (4)";231;
0214075;"Syców - obszar wiejski (5)";153;
0214083;"Twardogóra (3)";247;
0214084;"Twardogóra - miasto (4)";125;
0214085;"Twardogóra - obszar wiejski (5)";122;
0215000;"Powiat oławski";1622;
0215011;"Oława (1)";739;
0215022;"Domaniów (2)";123;
0215033;"Jelcz-Laskowice (3)";398;
0215034;"Jelcz-Laskowice - miasto (4)";267;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";131;
0215042;"Oława (2)";362;
0216000;"Powiat polkowicki";1651;
0216013;"Chocianów (3)";418;
0216014;"Chocianów - miasto (4)";282;
0216015;"Chocianów - obszar wiejski (5)";136;
0216022;"Gaworzyce (2)";82;
0216032;"Grębocice (2)";152;
0216043;"Polkowice (3)";515;
0216044;"Polkowice - miasto (4)";418;
0216045;"Polkowice - obszar wiejski (5)";97;
0216053;"Przemków (3)";349;
0216054;"Przemków - miasto (4)";245;
0216055;"Przemków - obszar wiejski (5)";104;
0216062;"Radwanice (2)";135;
0217000;"Powiat strzeliński";1408;
0217012;"Borów (2)";135;
0217022;"Kondratowice (2)";179;
0217032;"Przeworno (2)";173;
0217043;"Strzelin (3)";714;
0217044;"Strzelin - miasto (4)";412;
0217045;"Strzelin - obszar wiejski (5)";302;
0217053;"Wiązów (3)";207;
0217054;"Wiązów - miasto (4)";69;
0217055;"Wiązów - obszar wiejski (5)";138;
0218000;"Powiat średzki";1068;
0218012;"Kostomłoty (2)";184;
0218022;"Malczyce (2)";117;
0218032;"Miękinia (2)";271;
0218043;"Środa Śląska (3)";347;
0218044;"Środa Śląska - miasto (4)";136;
0218045;"Środa Śląska - obszar wiejski (5)";211;
0218052;"Udanin (2)";149;
0219000;"Powiat świdnicki";3284;
0219011;"Świdnica (1)";949;
0219021;"Świebodzice (1)";669;
0219032;"Dobromierz (2)";232;
0219043;"Jaworzyna Śląska (3)";195;
0219044;"Jaworzyna Śląska - miasto (4)";85;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";110;
0219052;"Marcinowice (2)";110;
0219063;"Strzegom (3)";679;
0219064;"Strzegom - miasto (4)";395;
0219065;"Strzegom - obszar wiejski (5)";284;
0219072;"Świdnica (2)";281;
0219083;"Żarów (3)";169;
0219084;"Żarów - miasto (4)";78;
0219085;"Żarów - obszar wiejski (5)";91;
0220000;"Powiat trzebnicki";1526;
0220013;"Oborniki Śląskie (3)";279;
0220014;"Oborniki Śląskie - miasto (4)";111;
0220015;"Oborniki Śląskie - obszar wiejski (5)";168;
0220023;"Prusice (3)";171;
0220024;"Prusice - miasto (4)";54;
0220025;"Prusice - obszar wiejski (5)";117;
0220033;"Trzebnica (3)";384;
0220034;"Trzebnica - miasto (4)";190;
0220035;"Trzebnica - obszar wiejski (5)";194;
0220042;"Wisznia Mała (2)";123;
0220052;"Zawonia (2)";95;
0220063;"Żmigród (3)";474;
0220064;"Żmigród - miasto (4)";207;
0220065;"Żmigród - obszar wiejski (5)";267;
0221000;"Powiat wałbrzyski";1547;
0221011;"Boguszów-Gorce (1)";548;
0221021;"Jedlina-Zdrój (1)";138;
0221031;"Szczawno-Zdrój (1)";97;
0221042;"Czarny Bór (2)";119;
0221053;"Głuszyca (3)";155;
0221054;"Głuszyca - miasto (4)";110;
0221055;"Głuszyca - obszar wiejski (5)";45;
0221063;"Mieroszów (3)";172;
0221064;"Mieroszów - miasto (4)";97;
0221065;"Mieroszów - obszar wiejski (5)";75;
0221072;"Stare Bogaczowice (2)";101;
0221082;"Walim (2)";217;
0222000;"Powiat wołowski";1795;
0222013;"Brzeg Dolny (3)";353;
0222014;"Brzeg Dolny - miasto (4)";266;
0222015;"Brzeg Dolny - obszar wiejski (5)";87;
0222022;"Wińsko (2)";422;
0222033;"Wołów (3)";1020;
0222034;"Wołów - miasto (4)";521;
0222035;"Wołów - obszar wiejski (5)";499;
0223000;"Powiat wrocławski";1195;
0223012;"Czernica (2)";139;
0223022;"Długołęka (2)";215;
0223032;"Jordanów Śląski (2)";22;
0223043;"Kąty Wrocławskie (3)";192;
0223044;"Kąty Wrocławskie - miasto (4)";51;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";141;
0223052;"Kobierzyce (2)";183;
0223062;"Mietków (2)";50;
0223073;"Sobótka (3)";115;
0223074;"Sobótka - miasto (4)";57;
0223075;"Sobótka - obszar wiejski (5)";58;
0223083;"Siechnice (3)";172;
0223084;"Siechnice - miasto (4)";57;
0223085;"Siechnice - obszar wiejski (5)";115;
0223092;"Żórawina (2)";107;
0224000;"Powiat ząbkowicki";2035;
0224013;"Bardo (3)";178;
0224014;"Bardo - miasto (4)";77;
0224015;"Bardo - obszar wiejski (5)";101;
0224022;"Ciepłowody (2)";118;
0224032;"Kamieniec Ząbkowicki (2)";259;
0224042;"Stoszowice (2)";178;
0224053;"Ząbkowice Śląskie (3)";587;
