frame;mean_red;mean_green;mean_blue;median_red;median_green;median_blue;sum_red;sum_green;sum_blue;mean_value;mean_saturation;mean_hue;median_value;median_saturation;median_hue;sum_value;sum_saturation;sum_hue
1;66,99453703703703;64,46301890432099;68,31332754629629;21,0;16,0;15,0;34729968;33417629;35413629;72,62336805555556;65,94001736111112;62,09339699074074;22,0;37,0;20,0;37647954;34183305;32189217
2;67,08166280864198;64,53702353395062;68,38258101851852;21,0;16,0;15,0;34775134;33455993;35449530;72,70563850308642;65,68677276234568;62,06023726851852;22,0;37,0;20,0;37690603;34052023;32172027
3;68,6689525462963;65,86085069444445;69,53079089506173;23,0;17,0;17,0;35597985;34142265;36044762;74,09151427469136;64,4664911265432;61,75032407407407;23,0;36,0;18,0;38409041;33419429;32011368
4;68,92930362654322;66,10540895061729;69,74855709876543;23,0;17,0;17,0;35732951;34269044;36157652;74,34064236111111;63,62759066358025;61,72424382716049;23,0;36,0;18,0;38538189;32984543;31997848
5;69,18466435185185;66,23297646604938;69,93240933641975;23,0;18,0;17,0;35865330;34335175;36252961;74,57593557098765;63,26400077160494;62,259735725308644;24,0;37,0;18,0;38660165;32796058;32275447
6;69,1304475308642;66,21246720679012;69,85843364197531;23,0;18,0;17,0;35837224;34324543;36214612;74,51061921296296;63,474203317901235;62,05358989197531;24,0;37,0;18,0;38626305;32905027;32168581
7;69,24467399691358;66,23926311728395;69,92767554012346;23,0;18,0;17,0;35896439;34338434;36250507;74,60526234567901;63,33675540123457;62,33210455246913;24,0;37,0;18,0;38675368;32833774;32312963
8;69,15702546296296;66,19139081790124;69,82428240740741;23,0;17,0;17,0;35851002;34313617;36196908;74,50445408950617;63,69846064814815;62,134849537037034;24,0;37,0;18,0;38623109;33021282;32210706
9;69,2418074845679;66,19838348765433;69,87222415123456;23,0;17,0;17,0;35894953;34317242;36221761;74,58179398148148;63,64774691358025;62,339569830246916;24,0;37,0;18,0;38663202;32994992;32316833
10;69,15585069444444;66,15398919753086;69,76986304012345;23,0;17,0;17,0;35850393;34294228;36168697;74,49046875;64,021824845679;62,150690586419756;24,0;37,0;18,0;38615859;33188914;32218918
11;69,25783757716049;66,21273726851852;69,83515046296296;23,0;17,0;17,0;35903263;34324683;36202542;74,57952932098766;63,9804012345679;62,29149691358025;24,0;37,0;18,0;38662028;33167440;32291912
12;69,22503279320988;66,21103587962963;69,77991319444445;23,0;17,0;17,0;35886257;34323801;36173907;74,53426697530864;64,16205825617284;62,07619598765432;24,0;37,0;18,0;38638564;33261611;32180300
13;69,29190393518519;66,26651234567902;69,78538966049383;23,0;17,0;17,0;35920923;34352560;36176746;74,5730999228395;64,3087287808642;61,93213927469136;24,0;37,0;18,0;38658695;33337645;32105621
14;69,37103780864197;66,32594328703703;69,83615933641975;23,0;17,0;17,0;35961946;34383369;36203065;74,64225694444444;64,26978395061728;61,90096064814815;24,0;37,0;18,0;38694546;33317456;32089458
15;69,41052854938272;66,36369212962963;69,8459837962963;23,0;17,0;17,0;35982418;34402938;36208158;74,66896219135802;64,27665123456791;61,810827546296295;24,0;37,0;18,0;38708390;33321016;32042733
16;69,57877314814814;66,51453896604939;69,96655864197531;23,0;17,0;17,0;36069636;34481137;36270664;74,81138888888889;64,21517361111111;61,76075038580247;24,0;37,0;17,0;38782224;33289146;32016773
17;69,65340856481481;66,56901234567901;70,0183738425926;23,0;17,0;17,0;36108327;34509376;36297525;74,8755111882716;64,01408179012346;61,72619791666666;24,0;37,0;15,0;38815465;33184900;31998861
